	Gene	log2FoldChange	-log10FDR	product
495	PRKX	-3.57652051078347	11.513674885133131	-41.17889438117116
500	PDGFRA	8.146732639983801	5.001715535235161	40.747639206814334
504	MEX3C	-3.18846976064117	12.699488570216756	-40.4919352817443
505	MRC2	3.790188292284253	10.68143150992731	40.4846366537626
512	MOCS2	3.6425591393328975	11.03351094768126	40.19021614140596
516	NFIC	6.822821818274021	5.84861949227978	39.90408867870921
518	RCC2	-3.1621059305279817	12.610368986519228	-39.87532255841858
524	KCNQ2	-7.515496733644756	5.244132310655388	-39.412259251531495
546	TNS1	8.08862938672655	4.761037797015106	38.51027023625223
552	EXT1	2.431303053609307	15.764956205564417	38.32938616260576
557	CHEK1	-3.0380835434669256	12.557174703748194	-38.14974581989655
560	ITGA5	3.345751386766704	11.377015846315308	38.06466654507621
573	KCNK5	-7.169123516861646	5.219596718658935	-37.41993358427165
575	GFPT2	-2.3439776782906128	15.955091317064603	-37.398377902287805
595	FAM117A	-3.6121495256803953	10.1186353069439	-36.550023724510304
600	NMU	-4.525098962061629	8.011313022334797	-36.251984242118006
602	THBS3	5.443022360018572	6.63317956827148	36.10454470812
610	LMNA	3.7049174672165193	9.674276282162731	35.8423951804632
622	EMILIN1	5.0029668785464345	7.084715732293227	35.444598152579864
632	TMEM263	2.801291717217356	12.517095254169789	35.064035259126506
641	GAS6	3.25176367734934	10.697353907380522	34.78526687977102
647	UBE2B	2.840338714479304	12.170512485032246	34.56837778629081
648	COL4A1	3.91978431054678	8.817488661273918	34.56265371288564
652	TRAK2	3.563689551870445	9.6831767027172	34.5078356443886
655	GBE1	3.5663228718713897	9.66771346381266	34.47818764469407
660	PLOD1	2.5825323430818976	13.251091376526915	34.221372061014385
680	FOSL2	6.431821741565128	5.217850373620352	33.560283477285104
685	EDN1	6.131250694610808	5.427070033224098	33.27472691090675
696	TGFBR2	3.140428360358717	10.43984128830169	32.78557365942652
728	TCEAL1	3.146784584672332	10.017891081890031	31.52414522741799
731	HMGCR	-2.9723769384453265	10.58580385367301	-31.46499924956332
752	LAMA2	6.021408839819792	5.114022340031116	30.79361932529926
758	TCEAL2	-6.709194026486171	4.568107239278209	-30.648317802113592
766	RFTN1	4.327824657893932	7.039758631944433	30.466840992950768
784	PDLIM3	6.839500384984175	4.365791583268875	29.859833214528138
794	SFXN3	5.544884040465728	5.334877880166733	29.581279215570152
795	PLP2	4.032465531141442	7.320540490709567	29.519827198111585
796	ADGRA2	6.361851550757153	4.639687605767111	29.51700378977824
799	SMPD1	4.620945993826326	6.371085709586095	29.440442986036015
813	COL6A1	2.962962106353162	9.77068894984105	28.9501811113426
833	POSTN	6.523778503719044	4.32591442450372	28.22130753150551
840	HP1BP3	1.84942261451834	15.178822075396775	28.072056807989
860	PAM	2.847634836623317	9.708984473214576	27.64764241416071
868	PRNP	3.158384164925951	8.678714889308374	27.410715678298647
882	TMEM173	5.968389062338736	4.552538596425107	27.171321564778548
887	PLAT	4.183437200118482	6.456201689978389	27.00911432132341
912	CNPY4	3.6863242064575337	7.182410118403332	26.47669228017573
927	ARHGDIB	5.968979536436294	4.3642608442573225	26.05018367104214
933	CYB5R1	2.8021124933252874	9.22850761584936	25.85931648511905
936	ACTN1	1.9111531911480573	13.49790675989195	25.79656757798644
938	NEK7	2.3769639536683678	10.846044139155865	25.78065595866955
953	SYNM	6.532557748332298	3.88454123060912	25.37598991473189
966	TCF3	-1.9665664950899515	12.762650986117071	-25.09860181782456
967	NOTCH1	-2.8423148511556446	8.814679687911532	-25.054094985130952
978	SSR3	2.14703094781366	11.56828745053046	24.83747116949328
982	CORO2A	-3.249817636098442	7.621121256308013	-24.76725426559449
997	ANGPTL2	3.574746794188453	6.8628250038373055	24.532861681543768
1017	TXNIP	3.013583160987213	8.017649791384068	24.161854402007663
1018	NAV1	3.673280456914108	6.57603242076564	24.155611375231995
1031	ASB8	3.7587810376896655	6.3550934054636254	23.88740458520332
1037	GSN	2.617375137326826	9.100478937676897	23.81936730924195
1038	SVEP1	6.494662912080696	3.664744731425337	23.801281689431267
1039	COL4A2	2.413628908328721	9.849561745444989	23.773186963174723
1042	MRAS	3.808324374775154	6.232445453698298	23.73517393577582
1061	PRKCA	3.2297842415039546	7.2197572227399265	23.31825810548977
1084	POU3F1	-6.246158814320795	3.676789883058416	-22.965813536470847
1087	LOXL1	2.8183906607701146	8.139973024751063	22.941623951879052
1096	SAAL1	-2.414968277654092	9.43882849330396	-22.79447138954663
1101	MEGF10	-6.070265308551261	3.74423533543815	-22.728501863761995
1104	MIS18BP1	-1.878654618200807	12.072150345968144	-22.679400999067525
1106	EVC	3.654122054954311	6.2050323830330285	22.67394568254669
1120	MEX3D	-2.411245448879761	9.28462077162103	-22.387499580145708
1122	EMP2	2.677119842084651	8.35903369552208	22.378134966936347
1127	WWTR1	3.3368724336905338	6.658028677539613	22.21699235680297
1160	PAK1	-2.4053592787369973	8.99210353260387	-21.62923966751245
1161	SLC1A4	4.338526103774221	4.983480199455155	21.62095893297815
1162	SUSD6	4.842178250640151	4.46213179575615	21.606437532900312
1166	PLAGL1	5.599758928049716	3.841844037246719	21.51340044774688
1183	RGL1	5.502406712081783	3.850394814225402	21.18643826995874
1220	ZMAT3	4.00445167543093	5.145648510764828	20.60550080011089
1229	SGCB	3.04664271869909	6.706411800510344	20.43204068062249
1234	BST2	-4.115630926354082	4.9585699180581	-20.40764370524894
1240	YES1	-1.8528371839737203	10.949998691259914	-20.288564739629944
1258	TGFB1I1	4.229375667289621	4.741912813264396	20.055330668829303
1278	SPRYD3	3.2783699968900666	6.044250210108967	19.81528854251772
1292	CENPV	-3.65798328419607	5.381606403924291	-19.68582626767758
1295	HSPB1	1.7142830673227902	11.429840774473805	19.59398250187605
1304	DNAJB4	2.7898560664235625	6.996194948550731	19.51837691909614
1305	ARL6IP5	2.997967552717282	6.502808144583785	19.49520781900786
1313	ATP2B1	1.8554002014155784	10.436683091396922	19.364223909888413
1314	POLR3GL	3.1046576425210604	6.226178473785302	19.330152582337647
1315	EPHB4	-2.373406891581567	8.143484206800437	-19.32780153790581
1321	ATP6V0D1	2.769783679515625	6.950782357950598	19.252163534916704
1323	TIPARP	3.6881786854769616	5.213926375894856	19.22989212722155
1329	MEIS1	5.568041919713055	3.426040345891234	19.076336264550605
1340	CFL2	2.399222958421702	7.897404300531548	18.947633709773573
1351	MRPS30	-2.084591495475009	8.980505836086266	-18.72068609096912
1353	FGF1	5.496411795864732	3.3955427759267027	18.6633013669668
1373	MIS18A	-2.771717658363709	6.648609943094079	-18.428069582846398
1378	ENC1	2.6032733802318724	7.055134657209649	18.3664442470652
1388	CD276	-2.1297840633354874	8.543268677644843	-18.19531747844123
1413	ARMCX3	2.903354846406841	6.163573085725138	17.895039789622846
1418	SYNJ2	2.809571182525243	6.348305233186675	17.836015441035475
1422	MCCC2	-2.115859670115108	8.417892785620744	-17.811079852447854
1423	SRPX	3.121427235883352	5.701216346278395	17.795931980936754
1425	MOB4	-3.770773930950353	4.715834864083611	-17.78234716815328
1451	FASN	-3.5575912326228245	4.911035972311107	-17.471458518189305
1454	CAP2	2.363008248499783	7.377889612467942	17.434014010782615
1455	ZNF697	-2.3606375682796297	7.3834816264197825	-17.42972411202892
1461	SERPINB9	-3.698107598348717	4.694299317178445	-17.3600239737808
1464	METTL7A	-2.8390166694824903	6.097525211907419	-17.310975719194918
1466	FHL1	2.460916248604909	7.032550540242047	17.306517893616885
1490	LRRC32	5.939885197649933	2.862099717595844	17.000543746745606
