Gene	log2FoldChange	-log10FDR	product
NKX2-5	-11.042793412967056	10.072253023300702	-111.2258093394425
LAPTM4B	-3.976505715055996	27.53405961547115	-109.48934541961353
CCDC69	-5.478702440516406	19.80772595924473	-108.52063655399428
RYR2	-10.272892564390835	10.53652990827585	-108.24063974920864
FAM71E1	-11.57554509969225	9.274210851159134	-107.35404597164782
SFRP4	9.503737721915606	11.254127057750487	106.9562718459744
IGF1	9.996558723189247	10.663370437578399	106.59700876637268
PKP2	-4.343961611696232	24.20006343405063	-105.12414655812962
BMP5	-10.393191909955675	10.045195535847256	-104.40164497709057
IFIT2	6.0678127979439385	17.204541160357746	104.39393503557199
GTF2H5	5.214012651292374	20.008869990084353	104.32650126636413
PPFIA4	-5.875372751786642	17.524778401053698	-102.96460549864997
FAM189A2	-7.257822067011485	14.005370297850066	-101.64848560440342
LRRC39	-9.105424745890156	11.129280988882487	-101.33683052013546
CXADR	-5.625656690655057	17.886706233371985	-100.62446859555062
NDRG2	-6.565351822588479	15.297342504581428	-100.43243549321389
CORO6	-6.389201158055038	15.659359647915354	-100.05079879686112
CLEC2B	8.903019855402446	11.152295756884609	99.28911055686413
SMPX	-10.254479975312098	9.659735609955709	-99.0555653791
MYLK3	-9.830299449825926	10.004048017288731	-98.34278772038556
UNC45B	-10.021823339709293	9.790351240822519	-98.11717056922696
EMILIN2	-4.171779571374405	23.456962668537805	-97.85727766709806
SP140L	4.843602790176901	20.122627312835704	97.46601379814093
HRC	-10.039098202286166	9.61550201148263	-96.53096895755428
ADCY5	-7.370091844905169	13.070014746801487	-96.32720909819194
MAP3K15	-11.734036100300852	8.203193257614627	-96.25656582259458
RBM24	-5.441389493996579	17.609938518997808	-95.82253444720034
RNF207	-6.962855420758845	13.508878058504777	-94.06036481803021
CD24	-5.283668383510226	17.71826009472239	-93.61741067329558
NNMT	8.114523442131324	11.5016688334026	93.33056137227663
SYNPO2L	-10.465711772116888	8.869192190975468	-92.82240912225913
RCAN2	-5.394038609741131	17.204669624695185	-92.80265222344627
TNFAIP6	8.889115035949345	10.43535941744017	92.76111030310301
MYOCD	-9.873834186523869	9.391071626371291	-92.72588407255917
SNX22	-13.706106047931803	6.73881515660195	-92.36291517379648
GPNMB	6.6948423137427095	13.668597311324074	91.50910364936225
FAM78A	-6.441336157856922	14.181472245608777	-91.34762994728422
LENG8	-4.255198674789206	21.411925049271304	-91.11199509434505
MT2A	8.571107712479321	10.612633221150814	90.96202245152
PLCXD3	-6.602195581306232	13.659035854168293	-90.17962616129329
TRIM24	-3.115999659081529	28.848692708692376	-89.89251664523323
ZNF710	-8.143193285741136	11.027154249515865	-89.79624844548943
CMYA5	-6.725171228070918	13.315260844493292	-89.54740912564556
PRKCZ	-8.908973572599718	10.036674028652449	-89.41646367806261
MTUS2	-7.593554512012003	11.77421719204261	-89.40816008404445
CACNB2	-5.701010533991453	15.613381836041992	-89.0120543185062
KLHL41	-7.54288416454429	11.78838133752577	-88.91839491643258
CASKIN1	-11.495884276862538	7.7182401719238625	-88.72799583746834
CAPN12	-11.849805356278589	7.448740440307442	-88.26612436708406
S1PR1	-4.669836683253163	18.74818206980764	-87.55094837389693
MYH7B	-7.900266226967098	11.045524106680968	-87.26258105916257
TRIM55	-9.615122751153914	9.057803406987789	-87.09189161400772
MYO18A	-3.715724395079016	23.434894128402703	-87.07760780899991
KIF26B	-8.87221724190205	9.755602517964554	-86.55382486502818
ACTA1	-8.097061103881433	10.684084606115583	-86.50968589475687
PHC1	-7.943732344520184	10.84899816397185	-86.18153762078327
KRT19	-6.828848650974701	12.598134612757244	-86.03075455512499
PPP1R13B	-5.344679883541678	16.083726601565587	-85.96237001977175
STK26	-5.782676815727904	14.753442241979737	-85.31438840487694
RCSD1	-8.309686773708904	10.25754737312148	-85.23700573712007
MYO18B	-9.402913557045693	9.013425639019077	-84.75246213655572
LMOD2	-9.7497261205189	8.65916845071689	-84.42452082592764
OBSCN	-9.884516176513218	8.520664272070306	-84.22264383191717
TMEM198	-9.660780904978658	8.71429192342997	-84.18686501428199
IFIT3	5.574662427938687	15.065936311920078	83.98750909977801
RBM20	-7.561005753019837	11.101166948350313	-83.93598716171039
FILIP1	-4.4839688470053645	18.71327713925276	-83.90975171778705
SEMA4G	-9.170162713676817	9.134878454803347	-83.76832180020735
HSPG2	-4.849632279322716	17.074776106292024	-82.80638536728203
ADPRHL1	-6.226817441875419	13.272995613119848	-82.6485205897106
XPO4	-3.4680124736915747	23.827681535793523	-82.63469678528236
TJP1	-4.551220067963608	18.067007076956017	-82.22692517668276
NGF	4.7904018504623265	17.129950788774053	82.05934795687182
PDK1	-3.6741293174878153	22.304780917527534	-81.95064948923068
MB	-9.737744682411478	8.393490969140288	-81.7336720516146
DDTL	-10.23183246761394	7.951081406306728	-81.35413288569067
LDLRAD2	-15.581042329482285	5.2024282489064255	-81.05925476230541
NREP	-4.913396706770819	16.469624307648097	-80.9217978349508
CKMT2	-6.817872925961787	11.835616825063815	-80.69373151366038
ISYNA1	-5.102325769138754	15.793917080896312	-80.58571011749798
BMP7	-9.320247261106958	8.615758739441123	-80.30100179363447
BVES	-4.492338064519181	17.813567255575585	-80.02456624709468
DSG2	-9.278127195789663	8.620743503854573	-79.98435475104019
HCN4	-9.585644586233286	8.33892007575581	-79.93392407920075
HOXB3	-8.69262289331658	9.131540143998867	-79.37703490696393
C5orf66	-10.112881921792594	7.8187156382059415	-79.06974802924991
FOXD1	4.940833833722022	15.955468181150387	78.83331702230299
RARRES3	5.798359020441954	13.573064089981349	78.70149860118012
FOSL1	7.466716749045226	10.5151404898451	78.51357561409003
MFAP5	8.586142382030298	9.129093775001676	78.38369897107086
MTSS1	-4.639151800839007	16.86870295776985	-78.25647370435628
LSMEM2	-10.420639936872423	7.502488670273158	-78.18073306338135
CCDC73	-11.529531859643003	6.778976577203182	-78.15842642263776
TNFRSF11B	7.198134303645255	10.841065649119692	78.03544653699866
TWIST2	6.111164327082261	12.767374531390555	78.02352378673257
TMEM184A	-11.468098763497428	6.79500232774614	-77.92575779278765
ADAMTS9	-8.243213351026712	9.440092540352163	-77.81669686355862
CBR1	4.210198688850225	18.47492684027593	77.78311275953355
MYOZ2	-5.061010341796361	15.296948631564366	-77.41801522227495
TNNI3	-9.67697112491912	7.9966846505786275	-77.38368645873332
CNRIP1	4.654646547766829	16.561608659053253	77.08843457032744
USP28	-3.4329400354504607	22.42709736812047	-76.99088043396642
